%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603672436079293,1718603672435934288,3795,34861
1718603672536323993,1718603672536934288,3796,34859
1718603672637183441,1718603672637934288,3797,34855
1718603672737945886,1718603672738934288,3796,34855
1718603672839696109,1718603672839934288,3798,34858
1718603672940144133,1718603672940934288,3795,34862
1718603673041555135,1718603673041934288,3796,34864
1718603673249842837,1718603673243934288,3795,34868
1718603673343765717,1718603673344934288,3796,34861
1718603673445397726,1718603673445934288,3797,34858
1718603673546588548,1718603673546934288,3796,34851
1718603673647071021,1718603673647934288,3795,34859
1718603673746717663,1718603673748934288,3797,34858
1718603673849658668,1718603673849934288,3796,34865
1718603673950376085,1718603673950934288,3796,34858
1718603674051866687,1718603674051934288,3797,34862
1718603674152699336,1718603674152934288,3795,34865
1718603674252151792,1718603674253934288,3797,34855
1718603674358284435,1718603674354934288,3797,34854
1718603674454720224,1718603674455934288,3799,34860
1718603674555840422,1718603674556934288,3797,34863
1718603674657608250,1718603674657934288,3796,34854
1718603674758896753,1718603674758934288,3798,34867
1718603674859840651,1718603674859934288,3797,34846
1718603674960420603,1718603674960934288,3796,34853
1718603675061359751,1718603675061934288,3796,34862
1718603675162587423,1718603675162934288,3798,34854
1718603675264096210,1718603675263934288,3796,34855
1718603675363800610,1718603675364934288,3798,34863
1718603675566134145,1718603675566934288,3797,34850
1718603675667398164,1718603675667934288,3798,34857
1718603675768040785,1718603675768934288,3797,34867
1718603675869274673,1718603675869934288,3796,34862
1718603675970651565,1718603675970934288,3796,34859
1718603676071764233,1718603676071934288,3798,34861
1718603676171866798,1718603676172934288,3798,34855
1718603676273429084,1718603676273934288,3795,34853
1718603676374665567,1718603676374934288,3797,34864
1718603676474509907,1718603676475934288,3794,34850
1718603676576048444,1718603676576934288,3796,34863
1718603676777755270,1718603676778934288,3797,34864
1718603676879010959,1718603676879934288,3798,34857
1718603676979834023,1718603676981064893,3796,34854
1718603677081565672,1718603677082064893,3796,34858
1718603677182163255,1718603677183064893,3798,34856
1718603677283471836,1718603677284064893,3796,34854
1718603677384023446,1718603677385064893,3797,34860
1718603677484660918,1718603677486064893,3797,34858
1718603677585933061,1718603677587064893,3799,34859
1718603677687125976,1718603677688064893,3795,34866
1718603677889634974,1718603677890064893,3797,34861
1718603677989617102,1718603677991064893,3797,34860
1718603678090892690,1718603678092064893,3795,34862
1718603678192870517,1718603678193064893,3797,34867
1718603678292423475,1718603678294064893,3795,34857
1718603678394617071,1718603678395064893,3796,34856
1718603678495607846,1718603678496064893,3797,34860
1718603678595969195,1718603678597064893,3795,34861
1718603678696949370,1718603678698064893,3799,34861
1718603678798602998,1718603678799064893,3795,34861
1718603678899811814,1718603678900064893,3796,34859
1718603679101489048,1718603679102064893,3796,34858
1718603679202042891,1718603679203064893,3795,34855
1718603679303993369,1718603679304064893,3796,34857
1718603679404459238,1718603679405064893,3798,34865
1718603679504666608,1718603679507431604,3794,34849
1718603679606950802,1718603679608431604,3799,34863
1718603679708257861,1718603679709431604,3795,34863
1718603679807917930,1718603679810431604,3796,34856
1718603679909772451,1718603679911431604,3796,34864
1718603680011004544,1718603680012431604,3797,34856
1718603680211965525,1718603680214431604,3796,34857
1718603680313572593,1718603680315431604,3797,34859
1718603680414361166,1718603680416431604,3797,34863
1718603680515740623,1718603680517431604,3796,34863
1718603680615916748,1718603680618431604,3795,34864
1718603680717040877,1718603680719431604,3796,34858
1718603680818616916,1718603680820431604,3794,34861
1718603680919692734,1718603680921431604,3796,34853
1718603681018724361,1718603681022431604,3795,34864
1718603681121377240,1718603681123431604,3796,34861
1718603681328924604,1718603681325431604,3796,34866
1718603681424105845,1718603681426431604,3796,34867
1718603681525047436,1718603681527431604,3796,34861
1718603681627046430,1718603681628431604,3796,34862
1718603681727674736,1718603681729431604,3797,34871
1718603681827951487,1718603681830431604,3797,34858
1718603681929693137,1718603681931431604,3796,34858
1718603682030637466,1718603682031482555,3798,34854
1718603682132011998,1718603682132482555,3796,34866
1718603682232975826,1718603682233482555,3796,34865
1718603682331614838,1718603682334482555,3794,34863
1718603682535165253,1718603682536482555,3795,34860
1718603682636287242,1718603682637482555,3797,34857
1718603682737428470,1718603682738482555,3794,34861
1718603682838398517,1718603682839482555,3797,34856
1718603682938887540,1718603682940482555,3798,34847
1718603683040010108,1718603683041482555,3796,34861
1718603683141411938,1718603683142482555,3795,34858
1718603683242116067,1718603683243482555,3795,34859
1718603683343837470,1718603683344482555,3796,34864
1718603683443964666,1718603683445482555,3794,34855
1718603683652380386,1718603683647482555,3796,34867
1718603683747376491,1718603683748482555,3793,34861
1718603683847939534,1718603683849482555,3795,34856
1718603683949124718,1718603683950482555,3796,34865
1718603684050016759,1718603684051482555,3798,34857
1718603684151654133,1718603684152482555,3796,34867
1718603684251844656,1718603684253482555,3797,34856
1718603684353270726,1718603684354482555,3796,34861
1718603684454451020,1718603684455482555,3797,34860
1718603684555690484,1718603684556640960,3797,34859
1718603684656985387,1718603684657640960,3798,34859
1718603684858308902,1718603684859640960,3795,34861
1718603684959860648,1718603684960640960,3797,34867
1718603685060026344,1718603685061640960,3796,34857
1718603685161208285,1718603685162640960,3799,34860
1718603685262496291,1718603685263640960,3795,34850
1718603685363760474,1718603685364640960,3795,34857
1718603685464933261,1718603685465640960,3795,34865
1718603685565686274,1718603685566640960,3797,34866
1718603685666522128,1718603685667640960,3797,34856
1718603685767764560,1718603685768640960,3795,34853
1718603685974441168,1718603685970640960,3796,34864
1718603686069945688,1718603686071640960,3797,34863
1718603686171759727,1718603686172640960,3796,34858
1718603686272036723,1718603686273640960,3796,34862
1718603686373116045,1718603686374640960,3796,34868
1718603686474836904,1718603686475640960,3797,34851
1718603686575327087,1718603686576640960,3796,34863
1718603686677214131,1718603686677640960,3795,34860
1718603686776789624,1718603686778640960,3798,34853
1718603686878999483,1718603686879640960,3797,34868
1718603686979413790,1718603686980640960,3795,34849
1718603687180770989,1718603687183318880,3797,34863
1718603687282575062,1718603687284318880,3794,34856
1718603687383166012,1718603687385318880,3794,34859
1718603687483005668,1718603687486318880,3799,34865
1718603687585262234,1718603687587318880,3796,34853
1718603687685698252,1718603687688318880,3798,34863
1718603687786933741,1718603687789318880,3796,34847
1718603687887695988,1718603687890318880,3797,34855
1718603687989413049,1718603687991318880,3796,34861
1718603688090394206,1718603688092318880,3795,34858
1718603688296911634,1718603688294318880,3797,34862
1718603688393028128,1718603688395318880,3796,34864
1718603688494894032,1718603688496318880,3797,34865
1718603688595658336,1718603688597318880,3798,34854
1718603688695573152,1718603688698318880,3795,34860
